english,sign
i eat book,I EAT BOOK
i see food,I SEE FOOD
he want school,HE WANT SCHOOL
he want book,HE WANT BOOK
you like cricket,YOU LIKE CRICKET
he play college,HE PLAY COLLEGE
you go water,YOU GO WATER
they want food,THEY WANT FOOD
they want cricket,THEY WANT CRICKET
you like school,YOU LIKE SCHOOL
he study food,HE STUDY FOOD
we like school,WE LIKE SCHOOL
they like college,THEY LIKE COLLEGE
she like school,SHE LIKE SCHOOL
i want water,I WANT WATER
we like cricket,WE LIKE CRICKET
i play movie,I PLAY MOVIE
we drink college,WE DRINK COLLEGE
they like school,THEY LIKE SCHOOL
you eat water,YOU EAT WATER
we want movie,WE WANT MOVIE
he play water,HE PLAY WATER
he want water,HE WANT WATER
she go school,SHE GO SCHOOL
she study food,SHE STUDY FOOD
he drink water,HE DRINK WATER
we go food,WE GO FOOD
we see school,WE SEE SCHOOL
you play cricket,YOU PLAY CRICKET
he play school,HE PLAY SCHOOL
they like water,THEY LIKE WATER
i drink food,I DRINK FOOD
we study school,WE STUDY SCHOOL
we drink school,WE DRINK SCHOOL
he see cricket,HE SEE CRICKET
he study food,HE STUDY FOOD
i drink book,I DRINK BOOK
you play school,YOU PLAY SCHOOL
he drink food,HE DRINK FOOD
i want school,I WANT SCHOOL
she see food,SHE SEE FOOD
i want book,I WANT BOOK
they like water,THEY LIKE WATER
he play movie,HE PLAY MOVIE
i want cricket,I WANT CRICKET
they eat college,THEY EAT COLLEGE
he drink water,HE DRINK WATER
you like book,YOU LIKE BOOK
you see movie,YOU SEE MOVIE
she go college,SHE GO COLLEGE
they play book,THEY PLAY BOOK
you see book,YOU SEE BOOK
he want cricket,HE WANT CRICKET
they study school,THEY STUDY SCHOOL
you eat movie,YOU EAT MOVIE
they drink college,THEY DRINK COLLEGE
we see college,WE SEE COLLEGE
we drink movie,WE DRINK MOVIE
he play school,HE PLAY SCHOOL
i like school,I LIKE SCHOOL
she like cricket,SHE LIKE CRICKET
she eat school,SHE EAT SCHOOL
i eat water,I EAT WATER
you drink cricket,YOU DRINK CRICKET
you want water,YOU WANT WATER
you like food,YOU LIKE FOOD
she eat water,SHE EAT WATER
you eat school,YOU EAT SCHOOL
i want book,I WANT BOOK
you study movie,YOU STUDY MOVIE
she see book,SHE SEE BOOK
you like food,YOU LIKE FOOD
they go book,THEY GO BOOK
she eat cricket,SHE EAT CRICKET
you like food,YOU LIKE FOOD
we go water,WE GO WATER
she play water,SHE PLAY WATER
i like college,I LIKE COLLEGE
we study food,WE STUDY FOOD
he want college,HE WANT COLLEGE
he eat book,HE EAT BOOK
she want book,SHE WANT BOOK
i see cricket,I SEE CRICKET
they drink college,THEY DRINK COLLEGE
he like food,HE LIKE FOOD
we see college,WE SEE COLLEGE
you play water,YOU PLAY WATER
they go food,THEY GO FOOD
i drink cricket,I DRINK CRICKET
we like water,WE LIKE WATER
i go book,I GO BOOK
we want school,WE WANT SCHOOL
i like water,I LIKE WATER
you want cricket,YOU WANT CRICKET
she study college,SHE STUDY COLLEGE
we want movie,WE WANT MOVIE
they eat cricket,THEY EAT CRICKET
you see food,YOU SEE FOOD
they see movie,THEY SEE MOVIE
he like college,HE LIKE COLLEGE
he play food,HE PLAY FOOD
she go food,SHE GO FOOD
i see movie,I SEE MOVIE
they like school,THEY LIKE SCHOOL
he see water,HE SEE WATER
we eat college,WE EAT COLLEGE
i study college,I STUDY COLLEGE
i see water,I SEE WATER
i drink school,I DRINK SCHOOL
you want food,YOU WANT FOOD
we see college,WE SEE COLLEGE
you study movie,YOU STUDY MOVIE
he like book,HE LIKE BOOK
he study cricket,HE STUDY CRICKET
