video_path,gloss,split,video_id
D:\signaraaa\datasets\WLASL\start_kit\videos\27194.mp4,HELP,test,27194
D:\signaraaa\datasets\WLASL\start_kit\videos\69364.mp4,HELP,val,69364
D:\signaraaa\datasets\WLASL\start_kit\videos\27221.mp4,HELP,train,27221
D:\signaraaa\datasets\WLASL\start_kit\videos\27206.mp4,HELP,train,27206
D:\signaraaa\datasets\WLASL\start_kit\videos\27207.mp4,HELP,train,27207
D:\signaraaa\datasets\WLASL\start_kit\videos\27208.mp4,HELP,train,27208
D:\signaraaa\datasets\WLASL\start_kit\videos\27209.mp4,HELP,test,27209
D:\signaraaa\datasets\WLASL\start_kit\videos\38482.mp4,NO,test,38482
D:\signaraaa\datasets\WLASL\start_kit\videos\69411.mp4,NO,val,69411
D:\signaraaa\datasets\WLASL\start_kit\videos\68110.mp4,NO,val,68110
D:\signaraaa\datasets\WLASL\start_kit\videos\38539.mp4,NO,train,38539
D:\signaraaa\datasets\WLASL\start_kit\videos\38540.mp4,NO,train,38540
D:\signaraaa\datasets\WLASL\start_kit\videos\38541.mp4,NO,train,38541
D:\signaraaa\datasets\WLASL\start_kit\videos\38525.mp4,NO,test,38525
D:\signaraaa\datasets\WLASL\start_kit\videos\38544.mp4,NO,train,38544
D:\signaraaa\datasets\WLASL\start_kit\videos\38527.mp4,NO,train,38527
D:\signaraaa\datasets\WLASL\start_kit\videos\38529.mp4,NO,train,38529
D:\signaraaa\datasets\WLASL\start_kit\videos\38530.mp4,NO,train,38530
D:\signaraaa\datasets\WLASL\start_kit\videos\38524.mp4,NO,train,38524
D:\signaraaa\datasets\WLASL\start_kit\videos\38538.mp4,NO,train,38538
D:\signaraaa\datasets\WLASL\start_kit\videos\64275.mp4,YES,test,64275
D:\signaraaa\datasets\WLASL\start_kit\videos\69546.mp4,YES,val,69546
D:\signaraaa\datasets\WLASL\start_kit\videos\64287.mp4,YES,val,64287
D:\signaraaa\datasets\WLASL\start_kit\videos\68192.mp4,YES,val,68192
D:\signaraaa\datasets\WLASL\start_kit\videos\64284.mp4,YES,train,64284
D:\signaraaa\datasets\WLASL\start_kit\videos\64294.mp4,YES,train,64294
D:\signaraaa\datasets\WLASL\start_kit\videos\64295.mp4,YES,train,64295
D:\signaraaa\datasets\WLASL\start_kit\videos\64296.mp4,YES,train,64296
D:\signaraaa\datasets\WLASL\start_kit\videos\64297.mp4,YES,test,64297
D:\signaraaa\datasets\WLASL\start_kit\videos\64280.mp4,YES,train,64280
D:\signaraaa\datasets\WLASL\start_kit\videos\64300.mp4,YES,train,64300
D:\signaraaa\datasets\WLASL\start_kit\videos\64281.mp4,YES,train,64281
D:\signaraaa\datasets\WLASL\start_kit\videos\64288.mp4,YES,train,64288
D:\signaraaa\datasets\WLASL\start_kit\videos\64283.mp4,YES,train,64283
D:\signaraaa\datasets\WLASL\start_kit\videos\04694.mp4,BAD,test,04694
D:\signaraaa\datasets\WLASL\start_kit\videos\69219.mp4,BAD,test,69219
D:\signaraaa\datasets\WLASL\start_kit\videos\04709.mp4,BAD,train,04709
D:\signaraaa\datasets\WLASL\start_kit\videos\04712.mp4,BAD,train,04712
D:\signaraaa\datasets\WLASL\start_kit\videos\04713.mp4,BAD,train,04713
D:\signaraaa\datasets\WLASL\start_kit\videos\04715.mp4,BAD,val,04715
D:\signaraaa\datasets\WLASL\start_kit\videos\04708.mp4,BAD,train,04708
D:\signaraaa\datasets\WLASL\start_kit\videos\04720.mp4,BAD,val,04720
D:\signaraaa\datasets\WLASL\start_kit\videos\04721.mp4,BAD,train,04721
D:\signaraaa\datasets\WLASL\start_kit\videos\04723.mp4,BAD,train,04723
D:\signaraaa\datasets\WLASL\start_kit\videos\25037.mp4,GOOD,train,25037
D:\signaraaa\datasets\WLASL\start_kit\videos\69347.mp4,GOOD,train,69347
D:\signaraaa\datasets\WLASL\start_kit\videos\70259.mp4,GOOD,train,70259
D:\signaraaa\datasets\WLASL\start_kit\videos\25074.mp4,GOOD,val,25074
D:\signaraaa\datasets\WLASL\start_kit\videos\25066.mp4,GOOD,train,25066
D:\signaraaa\datasets\WLASL\start_kit\videos\25076.mp4,GOOD,train,25076
D:\signaraaa\datasets\WLASL\start_kit\videos\25067.mp4,GOOD,train,25067
D:\signaraaa\datasets\WLASL\start_kit\videos\25068.mp4,GOOD,train,25068
D:\signaraaa\datasets\WLASL\start_kit\videos\25069.mp4,GOOD,train,25069
D:\signaraaa\datasets\WLASL\start_kit\videos\25070.mp4,GOOD,test,25070
D:\signaraaa\datasets\WLASL\start_kit\videos\64351.mp4,YOU,test,64351
D:\signaraaa\datasets\WLASL\start_kit\videos\69547.mp4,YOU,test,69547
D:\signaraaa\datasets\WLASL\start_kit\videos\64386.mp4,YOU,train,64386
D:\signaraaa\datasets\WLASL\start_kit\videos\64387.mp4,YOU,val,64387
D:\signaraaa\datasets\WLASL\start_kit\videos\64388.mp4,YOU,train,64388
D:\signaraaa\datasets\WLASL\start_kit\videos\64379.mp4,YOU,val,64379
D:\signaraaa\datasets\WLASL\start_kit\videos\64389.mp4,YOU,train,64389
D:\signaraaa\datasets\WLASL\start_kit\videos\64391.mp4,YOU,train,64391
D:\signaraaa\datasets\WLASL\start_kit\videos\64380.mp4,YOU,val,64380
D:\signaraaa\datasets\WLASL\start_kit\videos\64381.mp4,YOU,train,64381
D:\signaraaa\datasets\WLASL\start_kit\videos\64382.mp4,YOU,train,64382
D:\signaraaa\datasets\WLASL\start_kit\videos\64383.mp4,YOU,train,64383
D:\signaraaa\datasets\WLASL\start_kit\videos\43213.mp4,PLEASE,val,43213
D:\signaraaa\datasets\WLASL\start_kit\videos\69434.mp4,PLEASE,train,69434
D:\signaraaa\datasets\WLASL\start_kit\videos\70220.mp4,PLEASE,train,70220
D:\signaraaa\datasets\WLASL\start_kit\videos\43226.mp4,PLEASE,train,43226
D:\signaraaa\datasets\WLASL\start_kit\videos\43217.mp4,PLEASE,train,43217
D:\signaraaa\datasets\WLASL\start_kit\videos\43218.mp4,PLEASE,train,43218
D:\signaraaa\datasets\WLASL\start_kit\videos\43219.mp4,PLEASE,test,43219
D:\signaraaa\datasets\WLASL\start_kit\videos\43220.mp4,PLEASE,val,43220
D:\signaraaa\datasets\WLASL\start_kit\videos\43224.mp4,PLEASE,train,43224
D:\signaraaa\datasets\WLASL\start_kit\videos\53363.mp4,SORRY,train,53363
D:\signaraaa\datasets\WLASL\start_kit\videos\70225.mp4,SORRY,train,70225
D:\signaraaa\datasets\WLASL\start_kit\videos\53372.mp4,SORRY,val,53372
D:\signaraaa\datasets\WLASL\start_kit\videos\53373.mp4,SORRY,train,53373
D:\signaraaa\datasets\WLASL\start_kit\videos\53365.mp4,SORRY,train,53365
D:\signaraaa\datasets\WLASL\start_kit\videos\53375.mp4,SORRY,test,53375
D:\signaraaa\datasets\WLASL\start_kit\videos\53366.mp4,SORRY,val,53366
D:\signaraaa\datasets\WLASL\start_kit\videos\53367.mp4,SORRY,test,53367
D:\signaraaa\datasets\WLASL\start_kit\videos\57653.mp4,THANK YOU,train,57653
D:\signaraaa\datasets\WLASL\start_kit\videos\69502.mp4,THANK YOU,train,69502
D:\signaraaa\datasets\WLASL\start_kit\videos\57663.mp4,THANK YOU,val,57663
D:\signaraaa\datasets\WLASL\start_kit\videos\57655.mp4,THANK YOU,train,57655
D:\signaraaa\datasets\WLASL\start_kit\videos\57667.mp4,THANK YOU,test,57667
D:\signaraaa\datasets\WLASL\start_kit\videos\57656.mp4,THANK YOU,val,57656
